"";"Term";"Monster";"Indeed";"Stepstone"
"1";"excel";"1,000+";"28549";"5224"
"2";"SAS";"139";"804";"10"
"3";"SPSS";"78";"531";"128"
"4";"python";"739";"2903";"461"
"5";"java";"1,000+";"18170";"2323"
"6";"SQL";"1,000+";"11894";"2043"
"7";"Tableau";"47";"282";"53"
"8";"R";"1,000+";"29325";"215"
